俹	〔亻一{亞下}・EFEi・yà|yā〕
俺	〔亻大电・EMHd・ǎn|yàn〕
俻	〔亻夊田・ETSt・bèi〕
俼	〔亻亠厶月・ERDY・yù〕
俽	〔亻斤欠・ELHq・xīn〕
俾	〔亻{卑上}十・EMRs・bǐ|bì|bēi|pì〕
俿	〔亻虎・ETh・hǔ|chí〕
倀	〔亻長・EMc・chāng|chéng|zhèng〕
倁	〔亻矢口・EMKv・zhī〕
倂	〔亻丿干干・EWAA・bìng〕
倃	〔亻夊卜口・ETUK・jiù〕
倄	〔亻乂ナ月・ECXY・yáo〕
倅	〔亻亠人十・ERUR・cuì|zú〕
倆	〔亻一巾入・EFRI・liǎ|liǎng〕
倇	〔亻宀夕㔾・EIYE・wǎn〕
倈	〔亻來・ECl・lái|lài|liē〕
倉	〔人丶彐口・UIVK・cāng|chuàng〕
倊	〔亻八厶心・EMDN・zòng〕
個	〔亻囗古・EBOg・gè|gě〕
倌	〔亻宀尸コ・EITE・guān〕
倍	〔亻立口・EWKv・bèi|péi〕
倎	〔亻冂龷八・EQDM・tiǎn〕
倏	〔亻丨夊犬・ELTQ・shū〕
倐	〔亻丨夊火・ELTM・shū〕
們	〔亻門・EEm・men|mèn|mén〕
倒	〔亻至刂・EUOd・dào|dǎo〕
倓	〔亻火火・EMMh・tán|dàn|tàn〕
倔	〔亻尸屮凵・ETJJ・jué|juè〕
倕	〔亻千龷一・EJDF・chuí|zhuì〕
倖	〔亻土{南心}・EHMr・xìng〕
倗	〔亻月月・EYYv・péng|pěng|píng〕
倘	〔亻尚・EGs・tǎng|cháng〕
候	〔亻丨コ矢・ELEM・hòu〕
倚	〔亻大丁口・EMCK・yǐ|jī|yī〕
倛	〔亻其・ERq・qī|qí|qì〕
倜	〔亻⺆土口・EIHK・tì|diào|zhōu〕
倝	〔十早人・RJUr・gàn〕
倞	〔亻{京上}小・EDIx・jìng|liàng〕
借	〔亻龷日・EDJr・jiè〕
倠	〔亻隹・EOc・suī〕
倡	〔亻日日・EJJr・chàng|chāng〕
倢	〔亻一彐龰・EFVN・jié|qiè〕
倣	〔亻方夊・EITp・fǎng〕
値	〔亻十目乚・ERST・zhí〕
倥	〔亻穴工・EBNg・kōng|kǒng〕
倦	〔亻丷夫㔾・ELME・juàn〕
倧	〔亻宀示・EICs・zōng〕
倨	〔亻尸古・ETOg・jù〕
倩	〔亻龶月・EHYv・qiàn|qìng〕
倪	〔亻臼儿・EIEe・ní|nì|niè〕
倫	〔亻人一冊・EUFP・lún〕
倬	〔亻⺊早・EUJz・zhuō〕
倭	〔亻禾女・EGWn・wō|wēi|wǒ〕
倮	〔亻日木・EJAm・luǒ〕
倯	〔亻木八厶・EAMD・sōng〕
倰	〔亻土八夊・EHMT・lèng|líng〕
倱	〔亻日匕匕・EJBB・hùn〕
倲	〔亻木日・EAJr・dōng|dòng〕
倳	〔亻{于下}口彐・EEKV・zì〕
倴	〔亻大十卄・EMRD・bèn|bēn〕
