㑇	〔㑇・(㑳)〕
崄	〔崄・(嶮)〕
崭	〔崭・(嶄)[嶃]・嶄〕
嵘	〔嵘・(嶸)・嶸〕
嵚	〔嵚・嶔〕
嵝	〔嵝・(嶁)・嶁〕
巅	〔巅・(巔)・巔〕
巡	〔巡・[廵]〕
巨	〔巨・[鉅]・鉅〕
巩	〔巩・(鞏)・鞏〕
巯	〔巯・(巰)・巰〕
币	〔币・(幣)・幣〕
布	〔布・[佈]・佈〕
帅	〔帅・(帥)・帥〕
帆	〔帆・[㠶颿]〕
师	〔师・(師)・師〕
帏	〔帏・(幃)・幃〕
帐	〔帐・(帳)・帳〕
帘	〔帘・(帘|簾)・簾〕
帙	〔帙・[袟袠]〕
帚	〔帚・[箒]〕
帜	〔帜・(幟)・幟〕
带	〔带・(帶)・帶〕
帧	〔帧・(幀)・幀〕
席	〔席・[蓆]・蓆〕
帮	〔帮・(幫)[幇幚]・幫〕
帱	〔帱・(幬)〕
帻	〔帻・(幘)・幘〕
帼	〔帼・(幗)・幗〕
帽	〔帽・[㡌]〕
幂	〔幂・[冪]〕
幕	〔幕・[幙]〕
干	〔干・(干|乾|幹)[|乹亁|榦]・乾|幹〕
年	〔年・[秊]〕
并	〔并・[併並竝]〕
幸	〔幸・[倖]〕
广	〔广・(廣)・廣〕
庄	〔庄・(莊)・莊〕
庆	〔庆・(慶)・慶〕
床	〔床・[牀]・床〕
庐	〔庐・(廬)・廬〕
庑	〔庑・(廡)・廡〕
库	〔库・(庫)・庫〕
应	〔应・(應)・應〕
庙	〔庙・(廟)・廟〕
庞	〔庞・(龐)・龐〕
废	〔废・(廢)[癈]・廢〕
庵	〔庵・[菴]〕
庶	〔庶・[庻]〕
庼	〔庼・廎〕
廉	〔廉・[亷㢘]〕
开	〔开・(開)・開〕
异	〔异・[異]・異〕
弃	〔弃・[棄]・棄〕
弄	〔弄・[挵衖]〕
弊	〔弊・[𡚁]〕
张	〔张・(張)・張〕
弥	〔弥・(彌|瀰)・彌|瀰〕
弦	〔弦・[絃]〕
弯	〔弯・(彎)・彎〕
弹	〔弹・(彈)・彈〕
强	〔强・[強彊]〕
归	〔归・(歸)・歸〕
当	〔当・(當|噹)・當|噹〕
录	〔录・(録)・錄〕
彩	〔彩・[綵]〕
彻	〔彻・(徹)・徹〕
往	〔往・[徃]〕
征	〔征・(征|徵)・徵〕
径	〔径・(徑)[逕]・徑〕
徇	〔徇・[狥]〕
徕	〔徕・(徠)・徠〕
御	〔御・(御|禦)・禦〕
德	〔德・[惪]〕
徽	〔徽・[幑]〕
忆	〔忆・(憶)・憶〕
忏	〔忏・(懺)・懺〕
志	〔志・[誌]〕
忤	〔忤・[啎]〕
忧	〔忧・(憂)・憂〕
念	〔念・[唸]〕
忾	〔忾・(愾)・愾〕
怀	〔怀・(懷)・懷〕
态	〔态・(態)・態〕
怂	〔怂・(慫)・慫〕
怃	〔怃・(憮)・憮〕
怄	〔怄・(慪)・慪〕
怅	〔怅・(悵)・悵〕
怆	〔怆・(愴)・愴〕
怜	〔怜・(憐)・憐〕
怪	〔怪・[恠]〕
总	〔总・(總)・總〕
怼	〔怼・(懟)・懟〕
怿	〔怿・(懌)・懌〕
恋	〔恋・(戀)・戀〕
恍	〔恍・[怳]〕
恒	〔恒・[恆]〕
恤	〔恤・[卹䘏賉]〕
恩	〔恩・[㤙]〕
恳	〔恳・(懇)・懇〕
恶	〔恶・(惡|噁)・惡|噁〕
恸	〔恸・(慟)・慟〕
恹	〔恹・(懨)・懨〕
恺	〔恺・(愷)・愷〕
恻	〔恻・(惻)・惻〕
恼	〔恼・(惱)・惱〕
恽	〔恽・(惲)・惲〕
恿	〔恿・[惥慂]〕
悍	〔悍・[猂]〕
悖	〔悖・[誖]〕
悫	〔悫・(慤)・愨〕
悬	〔悬・(懸)・懸〕
悭	〔悭・(慳)・慳〕
悯	〔悯・(憫)・憫〕
悴	〔悴・[顇]〕
惇	〔惇・[㥫]〕
惊	〔惊・(驚)・驚〕
惧	〔惧・(懼)・懼〕
惨	〔惨・(慘)・慘〕
惩	〔惩・(懲)・懲〕
惫	〔惫・(憊)・憊〕
惬	〔惬・(愜)[㥦]・愜〕
惭	〔惭・(慚)[慙]・慚〕
惮	〔惮・(憚)・憚〕
惯	〔惯・(慣)・慣〕
愆	〔愆・[諐]〕
愈	〔愈・[瘉癒]〕
愤	〔愤・(憤)・憤〕
愦	〔愦・(憒)・憒〕
愧	〔愧・[媿]〕
愿	〔愿・(願)・願〕
慎	〔慎・[昚]〕
慑	〔慑・(懾)[慴]・懾〕
慨	〔慨・[嘅]〕
憔	〔憔・[癄顦]〕
憩	〔憩・[憇]〕
懑	〔懑・(懣)・懣〕
懒	〔懒・(懶)[嬾]・懶〕
戆	〔戆・(戇)・戇〕
戋	〔戋・(戔)・戔〕
戏	〔戏・(戲)[戯]・戲〕
戗	〔戗・(戧)・戧〕
战	〔战・(戰)・戰〕
戚	〔戚・[慽慼]〕
戛	〔戛・[戞]〕
戮	〔戮・[剹]〕
才	〔才・(才|纔)・纔〕
扎	〔扎・[紥紮]・紮〕
扑	〔扑・(撲)・撲〕
托	〔托・[託]〕
扛	〔扛・[摃]〕
扣	〔扣・[釦]〕
执	〔执・(執)・執〕
扩	〔扩・(擴)・擴〕
扪	〔扪・(捫)・捫〕
扫	〔扫・(掃)・掃〕
扬	〔扬・(揚)[敭颺]・揚|颺〕
扯	〔扯・[撦]〕
扰	〔扰・(擾)・擾〕
扼	〔扼・[搤]〕
折	〔折・(折|摺)・摺〕
抚	〔抚・(撫)・撫〕
抟	〔抟・(摶)・摶〕
抠	〔抠・(摳)・摳〕
抡	〔抡・(掄)・掄〕
抢	〔抢・(搶)・搶〕
护	〔护・(護)・護〕
报	〔报・(報)・報〕
抵	〔抵・[牴觝]〕
担	〔担・(擔)・擔〕
拐	〔拐・[柺]〕
拓	〔拓・[搨]〕
拖	〔拖・[拕]〕
拗	〔拗・[抝]〕
拟	〔拟・(擬)[儗]・擬〕
拢	〔拢・(攏)・攏〕
拣	〔拣・(揀)・揀〕
拥	〔拥・(擁)・擁〕
拦	〔拦・(攔)・攔〕
拧	〔拧・(擰)・擰〕
拨	〔拨・(撥)・撥〕
择	〔择・(擇)・擇〕
括	〔括・[𢬸]〕
拿	〔拿・[拏㧱挐]〕
挂	〔挂・[𦊱掛]・掛〕
挚	〔挚・(摯)・摯〕
挛	〔挛・(攣)・攣〕
挝	〔挝・(撾)・撾〕
挞	〔挞・(撻)・撻〕
挟	〔挟・(挾)・挾〕
挠	〔挠・(撓)・撓〕
挡	〔挡・(擋)[攩]・擋〕
挢	〔挢・撟〕
挤	〔挤・(擠)・擠〕
挥	〔挥・(揮)・揮〕
挦	〔挦・(撏)・撏〕
挲	〔挲・[挱]〕
挽	〔挽・[輓]〕
捆	〔捆・[綑]・綑〕
捍	〔捍・[扞]〕
捏	〔捏・[揑]〕
捞	〔捞・(撈)・撈〕
损	〔损・(損)・損〕
捡	〔捡・(撿)・撿〕
捣	〔捣・(搗)[𢷬擣]・搗〕
据	〔据・(据|據)[|㨿]・據〕
捶	〔捶・[搥]〕
捷	〔捷・[㨗]〕
掏	〔掏・[搯]〕
掳	〔掳・(擄)・擄〕
掴	〔掴・(摑)・摑〕
掷	〔掷・(擲)・擲〕
掸	〔掸・(撣)・撣〕
掺	〔掺・(摻)・摻〕
掼	〔掼・(摜)・摜〕
插	〔插・[揷]〕
揪	〔揪・[揫]〕
揽	〔揽・(攬)・攬〕
