欲	[慾]
彩	[綵]
领	(領)
脚	[腳]
脖	[𩓐]
脸	(臉)
够	[夠]
猪	[豬]
猎	(獵)
猫	[貓]
馅	(餡)
馆	(館)[舘]
凑	[湊]
减	[減]
庶	[庻]
麻	[蔴]
庵	[菴]
痒	(癢)
旋	(旋|鏇)
望	[朢]
阎	(閻)
阐	(闡)
盖	(蓋)
眷	[睠]
粗	[觕麤]
断	(斷)
兽	(獸)
焊	[釬銲]
鸿	(鴻)
淋	[痳]
渐	(漸)
淆	[殽]
渊	(淵)
淫	[婬滛]
渔	(漁)
淳	[湻]
淀	(淀|澱)
深	[㴱]
梁	[樑]
渗	(滲)
惭	(慚)[慙]
惧	(懼)
惊	(驚)
悴	[顇]
惨	(慘)
惯	(慣)
寇	[𭁵𡨥]
宿	[㝛]
窑	[窰窯]
谋	(謀)
谍	(諜)
谎	(謊)
谐	(諧)
祷	(禱)
祸	(禍)[旤]
谓	(謂)
谚	(諺)
谜	(謎)
弹	(彈)
堕	(墮)
随	(隨)
隐	(隱)
婶	(嬸)
颇	(頗)
颈	(頸)
绩	(績)[勣]
绪	(緒)
续	(續)
骑	(騎)
绰	(綽)
绳	(繩)
维	(維)
绵	(綿)[緜]
绷	(綳)[繃]
绸	(綢)[紬]
综	(綜)
绽	(綻)
绿	(緑)[菉]
缀	(綴)
琴	[琹]
琼	(瓊)
款	[欵]
塔	[墖]
趁	[趂]
趋	(趨)
揽	(攬)
堤	[隄]
博	[愽]
插	[揷]
揪	[揫]
搜	[蒐]
煮	[煑]
搀	(攙)
搁	(擱)
搂	(摟)
搅	(攪)
期	[朞]
联	(聯)
散	[㪚]
葬	[塟𦵏]
葱	[蔥]
蒋	(蔣)
蒂	[蔕]
韩	(韓)
棱	[稜]
棋	[棊碁]
棕	[椶]
椭	(橢)
逼	[偪]
厨	[㕑廚]
厦	[廈]
确	(確)
雁	[鴈]
颊	(頰)
雳	(靂)
暂	(暫)[蹔]
翘	(翹)
辈	(輩)
凿	(鑿)
辉	(輝)[煇]
赏	(賞)
睐	(睞)
最	[冣㝡]
晰	[晳]
喷	(噴)
畴	(疇)
践	(踐)
遗	(遺)
蛙	[鼃]
鹃	(鵑)
喂	[餧餵]
啼	[嗁]
喧	[諠]
帽	[㡌]
赋	(賦)
赌	(賭)
赎	(贖)
赐	(賜)
赔	(賠)
铸	(鑄)
铺	(鋪)[舖]
链	(鏈)
销	(銷)
锁	(鎖)[鎻]
锄	(鋤)[鉏耡]
锅	(鍋)
锈	(銹)[鏽]
锋	(鋒)
锌	(鋅)
锐	(鋭)
鹅	(鵝)[鵞䳘]
剩	[賸]
筑	(筑|築)
策	[筴筞]
筛	(篩)
筒	[筩]
筏	[栰]
储	(儲)
皓	[暠皜]
惩	(懲)
御	(御|禦)
逾	[踰]
释	(釋)
腊	(臘)[臈]
鲁	(魯)
猬	[蝟]
惫	(憊)
馈	(饋)[餽]
馋	(饞)
装	(裝)
蛮	(蠻)
敦	[㪟]
阔	(闊)[濶]
粪	(糞)
焰	[燄]
滞	(滯)
渺	[淼𣺌]
湿	(濕)[溼]
溃	(潰)
溅	(濺)
湾	(灣)
游	[遊]
愤	(憤)
愧	[媿]
慨	[嘅]
寓	[庽]
窜	(竄)
窝	(窩)
窗	[窓𥦗牎牕窻]
遍	[徧]
雇	[僱]
裤	(褲)[袴]
